x0000,y0000
1181.,7020.
1182.,7153.3333333333
1183.,7100.
1184.,7000.
1185.,6953.3333333333
1186.,6960.
1187.,7196.6666666667
1188.,7063.3333333333
1189.,7140.
1190.,6890.
1191.,7120.
1192.,6536.6666666667
1193.,6733.3333333333
1194.,6980.
1195.,7253.3333333333
1196.,7153.3333333333
1197.,6916.6666666667
1198.,7136.6666666667
1199.,6976.6666666667
1200.,6970.
1201.,7150.
1202.,7043.3333333333
1203.,6890.
1204.,7173.3333333333
1205.,5273.3333333333
1206.,5556.6666666667
1207.,5973.3333333333
1208.,6206.6666666667
1209.,6316.6666666667
1210.,6296.6666666667
1211.,6206.6666666667
1212.,6686.6666666667
1213.,6760.
1214.,7033.3333333333
1215.,6876.6666666667
1216.,7123.3333333333
1217.,6496.6666666667
1218.,6780.
1219.,6620.
1220.,6660.
1221.,6460.
1222.,6666.6666666667
1223.,6643.3333333333
1224.,6843.3333333333
1225.,6996.6666666667
1226.,6943.3333333333
1227.,6856.6666666667
1228.,6883.3333333333
1229.,6786.6666666667
1230.,6743.3333333333
1231.,7100.
1232.,6923.3333333333
1233.,6940.
1234.,6966.6666666667
1235.,6690.
1236.,7070.
1237.,6686.6666666667
1238.,6903.3333333333
1239.,6913.3333333333
1240.,6880.
1241.,7020.
1242.,6796.6666666667
1243.,7130.
1244.,7113.3333333333
1245.,7233.3333333333
1246.,6920.
1247.,7263.3333333333
1248.,7126.6666666667
1249.,6956.6666666667
1250.,6810.
1251.,7013.3333333333
1252.,6976.6666666667
1253.,7253.3333333333
1254.,7223.3333333333
1255.,7010.
1256.,6833.3333333333
1257.,6810.
1258.,7276.6666666667
1259.,6433.3333333333
1260.,6973.3333333333
1261.,6866.6666666667
1262.,6546.6666666667
1263.,6553.3333333333
1264.,6680.
1265.,6940.
1266.,6963.3333333333
1267.,7030.
1268.,7250.
1269.,6893.3333333333
1270.,7463.3333333333
1271.,7416.6666666667
1272.,7266.6666666667
1273.,7083.3333333333
1274.,6906.6666666667
1275.,7223.3333333333
