x0000,y0000
695.,7753.3333333333
696.,7706.6666666667
697.,7356.6666666667
698.,7546.6666666667
699.,7766.6666666667
700.,7413.3333333333
701.,5143.3333333333
702.,5606.6666666667
703.,6150.
704.,6183.3333333333
705.,6613.3333333333
706.,6446.6666666667
707.,6606.6666666667
708.,6796.6666666667
709.,6770.
710.,7030.
711.,6963.3333333333
712.,7356.6666666667
713.,7153.3333333333
714.,7400.
715.,7240.
716.,7373.3333333333
717.,7470.
718.,7206.6666666667
719.,7433.3333333333
720.,7150.
721.,7513.3333333333
722.,7820.
723.,7443.3333333333
724.,7526.6666666667
725.,7266.6666666667
726.,7733.3333333333
727.,7626.6666666667
728.,7930.
729.,7266.6666666667
730.,7450.
731.,7400.
732.,7266.6666666667
733.,6733.3333333333
734.,7233.3333333333
735.,7273.3333333333
736.,6820.
737.,7070.
738.,7716.6666666667
739.,7070.
740.,7093.3333333333
741.,7030.
742.,6886.6666666667
743.,7123.3333333333
744.,6913.3333333333
745.,7033.3333333333
746.,7356.6666666667
747.,7516.6666666667
748.,7593.3333333333
749.,6960.
750.,7380.
751.,7133.3333333333
752.,7116.6666666667
753.,6743.3333333333
754.,7023.3333333333
755.,7183.3333333333
756.,7370.
757.,7446.6666666667
758.,7180.
759.,7443.3333333333
760.,7200.
761.,7273.3333333333
762.,7180.
763.,7126.6666666667
764.,7170.
765.,7386.6666666667
766.,7213.3333333333
767.,7196.6666666667
768.,7336.6666666667
769.,7126.6666666667
770.,7076.6666666667
771.,7163.3333333333
772.,6883.3333333333
773.,7560.
774.,7103.3333333333
775.,7023.3333333333
776.,7153.3333333333
777.,7270.
778.,7286.6666666667
779.,6886.6666666667
780.,6650.
781.,7446.6666666667
782.,7010.
783.,7193.3333333333
784.,6836.6666666667
785.,7050.
786.,7146.6666666667
787.,6996.6666666667
788.,7003.3333333333
789.,7590.
790.,7040.
791.,7170.
792.,7290.
793.,6933.3333333333
794.,7180.
795.,7083.3333333333
796.,7090.
797.,7330.
798.,6736.6666666667
799.,7006.6666666667
800.,6956.6666666667
801.,4933.3333333333
802.,5223.3333333333
803.,5660.
804.,6196.6666666667
805.,6446.6666666667
806.,6306.6666666667
807.,6433.3333333333
808.,6306.6666666667
